,group1,group2,Diff,Lower,Upper,q-value,p-value
0,E1,E2,2.617623188406526,-27.123757679569184,32.35900405638223,0.400759869222868,0.9
1,E1,W1,47.576745136876184,17.835364268900474,77.31812600485189,7.284031652665461,0.001
2,E1,W2,20.67757961775095,-9.06380125022476,50.41896048572666,3.165751335088017,0.47922197526029864
3,E1,N1,34.409731466096105,4.668350598120394,64.15111233407181,5.268153011259557,0.009036451538764312
4,E1,N2,34.901852148028695,5.160471280052985,64.6432330160044,5.343497018375123,0.00740499000142647
5,E1,S1,15.878369697408004,-13.863011170567706,45.61975056538371,2.430989071150191,0.8031248404020348
6,E1,NE,28.184297307420138,-1.5570835605555722,57.925678175395845,4.3150348579911615,0.08233884559242488
7,E1,NW,68.24947168482913,38.508090816853425,97.99085255280484,10.449039979506077,0.001
8,E1,SE,6.217631879646547,-23.523748988329164,35.95901274762225,0.9519236191057547,0.9
9,E1,SW,14.995220659510835,-14.746160208464875,44.73660152748654,2.2957783599601567,0.8625662090265591
10,E2,W1,50.19436832528271,20.452987457307,79.93574919325842,7.68479152188833,0.001
11,E2,W2,23.295202806157477,-6.446178061818234,53.03658367413318,3.5665112043108853,0.29202047780105744
12,E2,N1,31.79210827768958,2.0507274097138684,61.533489145665285,4.867393142036689,0.02457606017345071
13,E2,N2,32.28422895962217,2.5428480916464586,62.025609827597876,4.942737149152255,0.020537474124753485
14,E2,S1,18.49599288581453,-11.24538798216118,48.23737375379024,2.831748940373059,0.6269471266974531
15,E2,NE,30.801920495826664,1.0605396278509538,60.54330136380237,4.715794727214029,0.03498100091833822
16,E2,NW,65.6318484964226,35.8904676284469,95.37322936439831,10.048280110283208,0.001
17,E2,SE,8.835255068053073,-20.906125799922638,38.57663593602878,1.3526834883286227,0.9
18,E2,SW,12.377597471104309,-17.3637833968714,42.118978339080016,1.895018490737289,0.9
19,W1,W2,26.899165519125233,-2.842215348850477,56.64054638710094,4.118280317577444,0.11975893848363217
20,W1,N1,81.98647660297229,52.24509573499658,111.727857470948,12.552184663925019,0.001
21,W1,N2,82.47859728490488,52.73721641692917,112.21997815288059,12.627528671040585,0.001
22,W1,S1,31.69837543946818,1.9569945714924692,61.439756307443886,4.85304258151527,0.02542277585241126
23,W1,NE,19.392447829456046,-10.348933038519665,49.13382869743175,2.9689967946742994,0.5666108557937157
24,W1,NW,115.82621682170532,86.08483595372961,145.56759768968104,17.733071632171537,0.001
25,W1,SE,41.35911325722964,11.617732389253927,71.10049412520534,6.332108033559707,0.001
26,W1,SW,62.57196579638702,32.83058492841131,92.31334666436273,9.579810012625618,0.001
27,W2,N1,55.087311083847055,25.345930215871345,84.82869195182276,8.433904346347575,0.001
28,W2,N2,55.579431765779646,25.838050897803935,85.32081263375535,8.509248353463141,0.001
29,W2,S1,4.799209920342946,-24.942170947632764,34.54059078831865,0.7347622639378262,0.9
30,W2,NE,7.506717689669188,-22.234663178306523,37.248098557644894,1.1492835229031444,0.9
31,W2,NW,88.92705130258008,59.185670434604376,118.66843217055579,13.614791314594093,0.001
32,W2,SE,14.459947738104404,-15.281433129871306,44.20132860608011,2.2138277159822626,0.8985938855515835
33,W2,SW,35.672800277261786,5.931419409286075,65.41418114523749,5.461529695048174,0.005378415695594163
34,N1,N2,0.4921206819325903,-29.24926018604312,30.2335015499083,0.07534400711556663,0.9
35,N1,S1,50.28810116350411,20.5467202955284,80.02948203147982,7.699142082409748,0.001
36,N1,NE,62.59402877351624,32.852647905540536,92.33540964149195,9.583187869250718,0.001
37,N1,NW,33.83974021873303,4.098359350757317,63.581121086708734,5.1808869682465195,0.011338208094367808
38,N1,SE,40.62736334574265,10.885982477766941,70.36874421371836,6.220076630365312,0.001
39,N1,SW,19.41451080658527,-10.32687006139044,49.155891674560976,2.9723746512993996,0.5651249034124328
40,N2,S1,50.7802218454367,21.03884097746099,80.5216027134124,7.774486089525314,0.001
41,N2,NE,63.08614945544883,33.344768587473126,92.82753032342454,9.658531876366284,0.001
42,N2,NW,33.34761953680044,3.6062386688247265,63.089000404776144,5.105542961130953,0.013735795241754056
43,N2,SE,41.11948402767524,11.378103159699531,70.86086489565095,6.295420637480878,0.001
44,N2,SW,19.90663148851786,-9.83474937945785,49.64801235649357,3.0477186584149663,0.5320030622037897
45,S1,NE,12.305927610012134,-17.435453257963577,42.04730847798784,1.8840457868409706,0.9
46,S1,NW,84.12784138223714,54.38646051426143,113.86922225021284,12.880029050656267,0.001
47,S1,SE,9.660737817761458,-20.080643050214253,39.402118685737165,1.4790654520444364,0.9
48,S1,SW,30.87359035691884,1.1322094889431291,60.614971224894546,4.726767431110348,0.034114339160599694
49,NE,NW,96.43376899224927,66.69238812427356,126.17514986022498,14.764074837497239,0.001
50,NE,SE,21.96666542777359,-7.774715440202119,51.7080462957493,3.363111238885407,0.38336142113161487
51,NE,SW,43.17951796693097,13.438137098955263,72.92089883490668,6.610813217951319,0.001
52,NW,SE,74.46710356447568,44.72572269649997,104.20848443245139,11.400963598611831,0.001
53,NW,SW,53.2542510253183,23.512870157342586,82.995631893294,8.153261619545919,0.001
54,SE,SW,21.21285253915738,-8.528528328818329,50.95423340713309,3.2477019790659116,0.4399990295211623
