,df,sum_sq,mean_sq,F,PR(>F)
C(Name),12.0,1303673.835491072,108639.48629092266,4.457683479749439,0.00016424423178861317
C(Location),13.0,2137672.8083261806,164436.36987124465,6.747135083850832,3.818077775572907e-07
C(Name):C(Location),156.0,100322187.77322423,643090.9472642579,26.387237177462854,1.3485214963700488e-286
Residual,7921.0,193044969.39266038,24371.287639522834,,
