,E1,E2,W1,W2,N1,N2,S1,S2,Central,NE,NW,SE,SW
58,204.497,304.0,412.909,209.423,675.197,284.0,445.0,337.076,752.8,530.0,208.0,466.0,198.0
59,427.852,313.0,783.61,596.948,227.819,336.0,627.166,227.817,524.345,274.0,288.0,633.0,753.0
60,188.433,432.0,328.467,296.169,683.456,277.0,531.148,187.265,355.312,324.0,292.0,389.0,330.0
61,303.839,345.0,542.557,351.214,712.595,447.0,652.602,787.403,614.278,329.0,292.0,224.0,891.0
62,572.924,801.0,547.445,261.779,572.924,251.0,368.285,353.33,938.574,335.0,347.0,212.0,398.0
63,188.433,957.0,313.953,370.212,345.301,100.0,471.635,521.659,585.037,433.0,196.0,483.0,224.0
64,414.742,313.0,439.474,209.423,418.739,619.0,644.235,355.31,599.251,371.0,383.0,294.0,296.0
65,303.839,293.0,516.136,318.468,418.739,384.0,396.655,227.817,370.768,1048.0,554.0,332.0,677.0
66,198.626,389.0,685.704,493.924,334.991,236.0,260.417,201.69,411.985,546.0,566.0,251.0,224.0
67,289.203,294.0,394.768,680.626,405.118,342.0,280.477,603.91,476.701,288.0,328.0,527.0,220.0
68,339.411,349.0,425.617,408.912,301.957,413.0,368.285,455.634,423.734,228.0,291.0,574.0,203.0
69,327.582,293.0,285.046,493.924,218.388,418.0,316.811,319.998,787.408,362.0,200.0,317.0,159.0
70,532.968,177.0,475.854,314.135,285.235,307.0,164.702,167.495,469.287,340.0,255.0,432.0,484.0
71,170.864,249.0,657.947,188.772,427.032,367.0,429.49,436.772,264.834,710.0,269.0,186.0,249.0
72,188.433,208.0,255.474,314.135,264.834,362.0,468.75,227.817,285.235,320.0,263.0,383.0,132.0
73,219.389,272.0,394.768,261.779,582.635,467.0,364.583,227.817,438.378,386.0,219.0,212.0,497.0
74,241.638,302.0,475.854,698.514,264.834,387.0,265.574,236.873,239.817,347.0,326.0,242.0,615.0
75,422.284,254.0,437.956,261.779,262.172,225.0,364.583,654.087,368.871,388.0,255.0,408.0,354.0
76,427.852,247.0,403.115,261.779,270.079,768.0,593.841,457.171,370.768,471.0,314.0,259.0,470.0
77,561.798,580.0,474.453,209.423,187.266,298.0,429.49,224.718,582.635,340.0,294.0,425.0,256.0
78,224.719,235.0,291.971,377.543,299.625,321.0,685.049,391.02,757.444,360.0,906.0,354.0,274.0
79,252.809,293.0,451.435,418.847,292.519,479.0,429.49,521.659,582.635,245.0,336.0,477.0,311.0
80,258.976,302.0,547.445,261.779,486.891,300.0,364.583,655.159,488.33,415.0,350.0,238.0,560.0
81,327.582,312.0,557.093,234.142,427.032,275.0,575.279,264.832,236.875,302.0,285.0,367.0,415.0
82,590.556,204.0,594.118,314.135,488.33,372.0,329.404,711.605,743.424,312.0,265.0,316.0,506.0
83,303.839,363.0,416.122,318.468,566.77,416.0,303.695,509.415,374.532,393.0,278.0,251.0,571.0
84,302.537,721.0,637.381,266.963,599.251,443.0,419.909,339.151,339.153,270.0,311.0,537.0,432.0
85,425.077,254.0,601.913,381.156,345.301,113.0,349.386,492.616,385.604,358.0,310.0,503.0,268.0
